ResetAfterDrinkSearch_branding_spend,ShoppingReset_spend,quarter_1,quarter_2,quarter_3,quarter_4,dutch_sports_event,dutch_hol_fest,weekend_clicks,week_purchases,ResetSearch_branding_spend_log,engagedSessions_reset,conversions_reset
1.3097,3.9609,0,0,0,1,0,1,1,0,1.966748654210545,9,0
0.4641,2.7524,1,0,0,0,0,0,0,1,1.1047268896679636,11,1
3.0574,2.7153,0,0,1,0,0,0,0,1,1.6468492974322466,7,0
1.3752,2.6632,0,0,0,1,0,0,0,1,1.6595034534408224,10,0
2.9047,3.1687,0,0,0,1,0,0,0,0,1.959319835965231,17,0
8.4968,1.1517,1,0,0,0,0,0,0,0,1.7805131322549734,6,0
2.6876,0.7124,1,0,0,0,1,0,0,0,1.5411162442112605,10,1
1.9775,4.357,1,0,0,0,0,0,0,0,2.3055008380749427,8,0
5.7152,8.6924,1,0,0,0,1,0,1,0,1.9092165258331142,12,0
1.8773,0.8404,0,0,0,1,0,1,0,0,0.83716094069885,6,1
2.5244,4.0454,0,0,0,1,0,0,0,1,1.6079568161523021,11,1
4.0935,1.2881,1,0,0,0,0,0,0,0,1.5289217593696467,10,1
3.0024,2.4516,0,0,0,1,0,0,1,0,2.009354321611848,4,0
3.8752,1.8011,1,0,0,0,0,0,0,0,1.2464286633623285,16,2
1.9649,1.9758,1,0,0,0,1,0,0,1,1.3867692483431018,11,0
0.5107,0.0,1,0,0,0,0,0,1,0,2.0360772557736713,5,0
2.4516,2.4408,0,0,0,1,0,0,1,0,1.503899603194154,6,0
4.3658,1.3207,0,0,0,1,0,0,1,0,0.8967408726294396,10,1
2.2032,1.35,0,0,0,1,0,0,0,0,1.4239754280875792,9,1
3.0343,1.2334,0,0,0,1,0,0,1,0,1.3160596474374384,9,0
2.9142,3.1652,0,0,0,1,0,0,0,0,1.426764293673604,9,0
1.6263,3.2744,0,0,0,1,0,0,0,0,0.6158880950129938,9,1
2.3449,1.9329,0,0,0,1,0,0,1,0,1.2292896123097259,5,0
2.5758,1.5171,0,0,0,1,0,0,1,0,1.6981994237115583,16,1
0.0634,1.7322,0,0,0,1,1,0,0,1,1.7460645099659255,7,1
3.6283,0.0,0,1,0,0,0,0,0,1,2.9422734782661943,10,0
4.3331,4.224,0,0,0,1,0,0,1,0,2.006817083958835,9,0
1.7465,1.561,1,0,0,0,0,0,0,1,0.944644925370683,6,0
0.0,0.0,0,1,0,0,1,0,1,0,2.536565710608186,7,0
8.6489,0.0,1,0,0,0,0,0,0,1,1.9346614041988215,8,0
4.0195,2.78,0,0,1,0,0,0,0,0,1.6872134366036668,10,0
6.0435,0.0,0,1,0,0,0,0,1,0,2.708623370142781,12,0
4.3201,3.2184,0,0,0,1,0,0,1,0,1.3455765278413316,3,0
4.2509,0.0,0,1,0,0,0,0,0,1,2.9018281048526426,6,0
2.0626,2.8,0,0,1,0,0,1,1,0,0.9860406500622593,8,0
2.5667,2.7251,0,0,0,1,0,0,0,0,1.7180232228475412,18,0
0.0,3.8315,1,0,0,0,0,0,0,1,1.1915864086748866,9,0
2.0959,0.9388,1,0,0,0,0,0,0,0,0.6040973637264344,7,1
0.0648,1.944,0,0,0,1,1,0,0,0,0.0,6,0
2.6301,2.4399,0,0,0,1,0,0,0,1,1.4501607814483046,9,1
2.4121,1.9428,0,0,0,1,0,0,1,0,0.8035250880295547,9,1
2.7251,3.1265,0,0,0,1,0,0,0,0,1.138826098281412,6,0
3.1293,5.3349,1,0,0,0,1,0,0,1,0.8346033391139392,6,0
3.2202,2.9364,1,0,0,0,0,0,1,0,1.6343646439579589,16,0
2.9077,0.87,0,0,1,0,0,0,0,1,1.9097350789334584,5,0
4.0051,4.25,0,0,1,0,0,0,1,0,1.1542677217462687,9,0
0.3207,1.5608,0,0,1,0,0,0,0,0,0.8017324909733861,2,0
0.9728,1.15,0,0,1,0,0,0,0,0,0.9361325740876943,6,0
0.8445,3.9447,0,0,1,0,0,0,0,0,1.126421989307377,11,0
1.5552,0.756,0,0,0,1,0,0,0,1,1.108694624009622,4,0
2.1281,2.27,0,0,1,0,0,0,0,0,0.6449018679319509,7,0
2.9119,0.0,1,0,0,0,0,0,1,0,2.031812578056017,9,0
3.726,0.5832,0,0,0,1,0,0,0,1,1.5392729257169713,7,2
3.5727,1.9428,1,0,0,0,0,0,0,1,1.7694968185540672,14,1
0.378,2.106,0,0,0,1,0,0,0,0,2.009354321611848,7,1
2.1274,2.6084,0,0,1,0,1,0,0,1,1.3602070263565722,7,0
2.1174,1.2006,0,0,0,1,0,0,0,0,1.5974058162102616,7,2
2.0952,2.8512,0,0,0,1,0,0,0,0,2.0079052598939318,12,0
0.3602,1.7902,1,0,0,0,0,0,0,0,1.6616697662369353,11,0
1.7486,1.4571,1,0,0,0,0,0,0,1,1.9583467783017772,14,2
0.0106,2.2604,0,0,0,1,0,1,1,0,1.5735205372473005,4,1
4.2761,1.0156,0,0,1,0,0,0,1,0,1.2063300238996142,5,0
2.0083,2.1283,0,0,0,1,0,0,0,1,1.909838757293656,12,0
6.0955,0.0,1,0,0,0,0,0,0,0,1.84091464613731,5,0
4.1933,2.3977,0,0,0,1,1,0,0,0,0.0,8,1
3.843,0.0,0,1,0,0,0,1,0,0,1.9195808406659394,7,0
3.4422,1.96,0,0,1,0,0,0,1,0,1.5608777218187233,9,0
0.322,0.0,0,1,0,0,0,0,0,1,2.4967034596675113,10,0
1.3799,2.2274,1,0,0,0,1,0,0,1,2.338531219767515,8,0
0.3384,0.7859,0,0,0,1,1,0,1,0,1.7160116917897803,8,0
3.1301,2.6121,1,0,0,0,0,0,1,0,1.906783145796837,9,1
1.4844,1.3207,0,0,0,1,0,1,0,0,0.8035250880295547,10,0
0.02,0.0,0,0,1,0,0,0,0,0,0.0,1,0
0.35,3.97,0,0,1,0,0,0,0,1,1.8562979903656263,10,0
0.3802,1.5527,0,0,0,1,0,1,0,0,1.37561251277303,4,0
0.9621,2.3625,0,0,1,0,0,0,0,0,1.6672350111603171,3,0
0.0756,1.1448,0,0,0,1,0,0,0,1,1.2817113209274507,8,0
0.939,2.5365,1,0,0,0,0,0,0,1,0.9120818871001004,9,2
3.292,2.8495,1,0,0,0,1,0,1,0,1.9083862811597747,6,0
1.0044,2.9268,0,0,0,1,0,0,0,0,1.0834309666724458,5,1
3.3033,4.0409,0,0,1,0,0,0,0,0,1.3037819395454264,10,0
0.4859,2.9258,0,0,0,1,0,0,1,0,1.4045516773907218,8,0
3.0455,2.0085,1,0,0,0,0,0,1,0,1.3840418260665968,5,1
1.0478,3.9947,0,0,0,1,0,0,0,1,1.588520664178712,8,2
4.3325,2.61,0,0,1,0,0,0,0,0,1.9273533168626378,10,0
4.8091,0.0,0,1,0,0,0,0,1,0,2.5732608747535717,9,0
2.1803,1.3492,1,0,0,0,0,0,0,0,1.6379670585480741,8,1
1.2294,3.15,0,0,1,0,0,0,1,0,1.0875513413086848,10,0
4.1153,4.1917,1,0,0,0,0,0,0,0,2.021494581724986,10,1
0.131,3.33,0,0,1,0,0,0,0,0,1.8236779447963285,11,0
3.3399,1.7573,0,0,0,1,0,0,0,1,1.227327937523516,6,0
2.9398,3.68,0,0,1,0,0,0,0,0,1.638569438940348,8,0
0.6331,1.8448,1,0,0,0,0,0,0,0,0.7114781372446687,9,0
3.1194,3.0762,1,0,0,0,0,0,0,0,1.4183016197548703,16,3
2.7505,1.7463,0,0,0,1,0,0,1,0,1.6257245619967815,6,0
0.0,1.5844,0,0,0,1,0,0,1,0,1.6813677999970862,4,0
2.2484,4.3222,0,0,0,1,0,0,0,1,1.2400539788968843,11,1
2.5977,1.7791,0,0,0,1,1,0,0,1,1.789757466557382,8,0
0.0,0.0,1,0,0,0,0,0,0,1,1.7768488564923008,4,0
1.8673,2.1263,1,0,0,0,0,0,1,0,2.0073814711434146,6,1
2.3343,2.3977,0,0,0,1,0,0,0,0,1.5125745270302204,12,0
1.5219,3.5511,1,0,0,0,0,0,0,1,1.3223956352696589,9,0
3.475,0.9612,0,0,0,1,0,0,0,0,1.661498912060559,7,1
0.2566,1.2935,0,0,1,0,1,0,0,1,1.948563767949443,6,0
3.7778,2.4501,1,0,0,0,0,0,1,0,1.66693293628121,4,0
2.3688,0.8951,1,0,0,0,0,0,0,1,1.0941690989707349,5,0
0.0,1.518,0,0,1,0,0,0,1,0,1.7706549948966337,6,0
0.8404,1.7354,0,0,0,1,0,0,0,0,0.0,4,0
0.0109,2.7072,1,0,0,0,0,0,1,0,1.5706347121102064,4,0
3.6995,1.34,0,0,1,0,0,0,0,1,1.1192642283989704,8,0
1.9644,2.2451,1,0,0,0,0,0,0,0,1.8370673869325966,5,0
2.4447,4.2375,1,0,0,0,0,0,0,0,0.825096071689228,10,0
1.2041,1.4893,0,0,0,1,0,0,0,0,1.2354424011953313,6,1
0.0321,1.5928,0,0,1,0,0,0,0,0,1.379244569632364,7,0
3.716,4.2267,1,0,0,0,0,0,1,0,2.340632040630948,8,0
3.9233,3.2712,0,0,1,0,0,0,1,0,1.6090578402158044,7,0
2.916,1.6308,0,0,0,1,1,0,0,1,0.0,2,0
4.3174,2.8711,1,0,0,0,0,0,0,0,1.7009773555745524,9,0
0.8078,2.6198,1,0,0,0,0,0,0,0,1.277344076611507,6,0
4.1478,0.6414,0,0,1,0,1,0,0,0,0.0,6,0
3.3508,1.659,0,0,0,1,0,0,1,0,1.665704817887403,10,0
0.8514,0.8405,1,0,0,0,0,0,0,0,1.7546112735925499,3,0
0.8294,2.53,0,0,1,0,0,0,0,1,1.6060923221830037,7,0
2.5488,3.078,0,0,0,1,0,0,0,0,1.5369532374050037,10,2
1.9777,1.0476,0,0,1,0,0,0,0,0,1.321062266182275,10,2
2.2484,1.6044,0,0,0,1,0,0,0,0,1.4653365684598436,6,0
3.4552,0.0,1,0,0,0,0,0,0,1,1.418107901082206,8,0
3.0762,2.7416,1,0,0,0,1,0,0,1,1.5863125710323631,7,0
6.1079,0.0,0,1,0,0,0,0,0,0,2.4280981747123396,7,0
1.2187,1.5822,0,0,1,0,0,0,0,0,1.5335714720039768,6,0
0.0109,1.0261,1,0,0,0,0,0,0,1,1.4853928109054533,5,0
0.0317,0.3802,0,0,0,1,0,0,0,1,1.4045516773907218,4,1
0.8552,1.4859,0,0,1,0,0,0,1,0,1.312459428610529,5,0
8.9314,2.5317,1,0,0,0,0,0,0,1,0.8058953402516986,4,1
3.0011,1.46,0,0,1,0,0,0,0,0,1.1747087586394098,10,0
3.5368,4.1153,1,0,0,0,0,0,0,1,1.1816044884639276,8,0
5.4545,4.5092,1,0,0,0,0,0,0,0,1.2830704501845858,14,0
3.4668,2.4948,0,0,0,1,0,0,1,0,1.6612900506393522,10,2
3.1104,1.89,0,0,0,1,0,0,0,0,1.6300441383270476,10,0
4.2461,2.5244,0,0,0,1,1,0,1,0,1.4045516773907218,7,0
0.7823,0.0,1,0,0,0,0,0,1,0,1.9791791197414417,7,0
8.0622,0.0,1,0,0,0,0,1,0,0,2.469039767277468,10,0
0.0648,1.8252,0,0,0,1,0,0,1,0,1.8630408312330058,6,0
1.2659,0.5,0,0,1,0,0,0,0,0,1.6104573925875658,2,0
1.87,3.96,0,0,1,0,0,0,1,0,0.0,7,0
4.151,1.69,0,0,0,1,0,0,0,1,1.8392471982954106,7,0
6.9756,4.1832,1,0,0,0,0,0,1,0,2.304413420584075,11,0
0.9714,0.8186,0,0,0,1,0,0,1,0,1.7041661047347292,7,0
1.4296,1.95,0,0,1,0,0,0,0,1,1.5144236888304183,6,0
4.3118,4.3664,1,0,0,0,0,0,1,0,1.9464528589045356,13,1
0.4436,0.0,0,0,0,1,0,1,0,1,0.583443915467982,3,0
2.5751,0.0,1,0,0,0,0,0,0,1,2.2791526860109235,7,0
2.2048,2.0519,0,0,0,1,0,0,0,0,1.4803310030462735,6,1
5.1955,0.0,0,1,0,0,0,0,0,0,0.0,5,0
4.9112,0.0,1,0,0,0,0,1,1,0,1.698492201257612,9,0
4.0982,1.5844,0,0,0,1,0,0,0,0,0.8462544590904868,10,1
0.449,1.3897,0,0,1,0,0,0,1,0,0.6575200029167942,7,0
2.5812,1.458,0,0,0,1,0,0,0,1,0.9296412162422929,5,1
2.6619,1.8173,0,0,1,0,0,0,0,0,1.3765470096650105,6,0
0.0761,4.7482,1,0,0,0,1,0,0,1,2.266843919216276,7,1
2.9036,2.3688,1,0,0,0,0,0,1,0,1.5796588859449763,12,0
6.6769,0.0,0,1,0,0,0,0,0,0,1.7992645687138287,6,0
2.2882,4.1987,1,0,0,0,0,1,0,0,0.5504308783583501,10,0
3.4028,0.0,0,1,0,0,0,0,0,0,1.643974595704336,9,0
4.7808,2.26,1,0,0,0,0,0,0,0,2.366442131975392,11,0
8.4207,0.0,1,0,0,0,0,0,0,0,2.1674753125133845,7,0
4.3445,1.5937,1,0,0,0,0,0,0,0,1.277344076611507,8,1
0.3486,0.9612,0,0,0,1,1,0,0,1,0.75122739163647,3,0
1.9558,2.0644,1,0,0,0,0,0,0,0,2.033240522779122,7,0
4.0195,2.1701,0,0,1,0,0,0,1,0,1.547307156967594,9,0
2.4624,2.754,0,0,0,1,0,0,0,0,0.2642087162661388,10,1
3.6668,0.77,0,0,1,0,0,0,0,0,1.0605642210305797,6,0
1.5527,3.5384,0,0,0,1,1,0,0,0,0.7311171118115739,13,1
2.3854,1.4355,1,0,0,0,0,0,0,0,0.6224564399371761,7,3
1.7138,2.336,1,0,0,0,0,1,1,0,1.655443250190508,11,0
7.0311,0.0,0,1,0,0,0,0,0,0,2.720703147225526,8,0
2.6984,1.2305,1,0,0,0,0,0,1,0,2.011724641509424,12,2
2.8387,2.5797,1,0,0,0,0,0,0,1,0.6224564399371761,7,0
0.0,3.0015,0,0,0,1,1,0,0,1,1.5929629423402212,7,3
4.2761,2.7046,0,0,1,0,0,0,0,1,2.001939354150406,9,0
2.074,1.2444,1,0,0,0,0,0,0,1,0.5038010088290262,11,1
5.5175,0.0,0,1,0,0,0,0,0,0,2.8773596891478896,10,0
0.17,1.45,0,0,1,0,0,0,0,0,1.6544112780768316,4,0
1.208,1.2721,0,0,1,0,0,0,0,1,0.7424610171128663,10,0
0.4912,3.0237,1,0,0,0,0,0,0,1,0.0,11,0
4.2676,1.6372,0,0,0,1,0,0,0,0,1.5929629423402212,11,1
0.0109,2.1941,1,0,0,0,0,0,0,0,1.872048300456858,9,0
2.7864,4.1473,0,0,0,1,0,0,1,0,1.8096812438619776,4,0
0.8532,3.834,0,0,0,1,0,0,0,0,0.9548958709852217,7,0
3.0124,2.2048,0,0,0,1,0,0,0,0,1.347735428941267,4,2
1.5336,3.0348,0,0,0,1,0,0,0,1,1.506297153514587,5,0
0.0216,2.5041,1,0,0,0,0,0,1,0,0.03188618886232173,5,0
1.9541,4.0243,0,0,0,1,0,1,0,0,1.845931948116448,11,0
8.638,5.8782,1,0,0,0,0,0,0,0,2.496266877358635,10,0
3.2488,4.7047,1,0,0,0,0,0,0,0,1.989626237357472,13,0
0.2292,2.5322,0,0,0,1,0,0,0,1,1.353383697662631,4,0
7.2995,0.0,0,1,0,0,0,0,0,0,3.0274344082845044,8,0
4.3652,3.97,0,0,1,0,0,0,1,0,1.679933654045798,11,0
1.9752,1.4248,1,0,0,0,0,1,1,0,1.456752824768452,11,1
2.1759,0.9506,0,0,0,1,0,0,0,0,0.3816504433421245,7,1
2.9268,2.2896,0,0,0,1,0,0,0,0,1.534628155625584,8,1
1.1677,3.13,0,0,1,0,0,0,0,0,2.0183636921712456,12,0
0.0,1.3392,0,0,0,1,1,0,0,0,1.0035687399812157,6,1
4.2743,1.5543,1,0,0,0,0,0,0,0,2.011724641509424,15,0
4.2877,0.5616,0,0,0,1,0,0,0,0,2.092666209007987,3,0
